Artillery Company of Newport,"23 Clark Street
", 512-305-8400, 512-305-8401, cvc.cvc@tspb.state.tx.us, www.texascapitolvisitorscenter.com,"History,","Karen Elliston, Director of Visitor Services",phone: 512-305-8400,"Kyle Schlafer, Program Supervisor, Texas State Preservation Board",phone: 512-305-8413,e-mail: kyle.schlafer@tspb.state.tx.us,"Suzy Rios, Administrative Assistant",phone: 512-305-8402,"Elizabeth Garzone, Administrative Assistant ",phone: 512-305-8402,"Kate Nelson, Gallery Assistant ",phone: 512-305-8409,,
Carleen Bright Arboretum,"9001 Bosque Blvd.
Woodway, TX 76712
", 254-399-9204,,,,"Arboretum,",,
Carson County Square House Museum,"503 Elsie
Panhandle, TX 79068
", 806-537-3524,, Director@squarehousemuseum.org, www.squarehousemuseum.org/,"Art,General,History,,Services,Gift ShopSpecial Event Rental,Group Tours,","Viola Moore, Executive Director",phone: 806-537-3524,e-mail: director@squarehousemuseum.org,"Janie Plumlee, Administrative Assistant",phone: 806-537-3524,e-mail: square@squarehousemuseum.org,"Shirlyne Grantham, Collections Tech",phone: 806-537-3524,e-mail: collections@squarehousemuseum.org,,
Casa Navarro State Historical Park,"228 S. Laredo St.
San Antonio, TX 78207
", 210-226-4801, 210-226-4801, navarro@txdirect.net, www.tpwd.state.tx.us/park/jose/jose.htm,"Historic House,",David McDonald,,,
Catholic Archives of Texas,"1600 N. Congress
Austin, TX 78711
", 512-476-6296, 512-476-3715, cat@onr.com, www.onr.com/user/cat,"Library,",Kinga Perzynska,phone: 512-476-6296,"Susan Eason, Archives Assistant",phone: 512-476-4888,,
Cattle Raiser's Museum,"Cattle Raiser's Museum
1600 Gendy Street
Fort Worth, TX 76107
", 817-332-8551, 817-336-2470, cattleraisersmuseum@gmail.com, www.cattleraisersmuseum.org,"Culture,History,Science,Specialized,","Sarah Penn, Tour coordinator",phone: 817-332-8551,,
Cauthron Memorial Depot and Sutton County Jail,"Oak St.
Sonora, TX 76950
", 915-387-2880, 915-387-3303,,,"History,",Eddie Sawyer,,,
Cavanaugh Flight Museum,"4572 Claire Chennault, At Addison Airport
Addison, TX 75001
", 214-380-8800,,, www.cavanaughflightmuseum.com/,"History,Specialized,",,
Centennial Museum and Chihuahuan Desert Gardens,"University Avenue and Wiggins Road
El Paso, TX 79968
", 915-747-5565, 915-747-5411, museum@utep.edu, www.museum.utep.edu,"Natural History,","Marshall Carter-Tripp, Interim Director",phone: 915-747-6669,e-mail: hmcarter@utep.edu,"Scott Cutler, Curator",phone: 915-747-6668,e-mail: scutler@utep.edu,"Kaye Mullins, Administrative Assistant",phone: 915-747-8994,e-mail: kmullins@utep.edu,"Wynn Anderson, Botanical Curator",phone: 915-747-5565,e-mail: wanderson@utep.edu,,
Center for American History,"Winedale
3738 FM 2714
Round Top, TX 78954
", 512-495-4518,, erin.purdy@austin.utexas.edu, www.Winedale.org,"History,Historic House,Library,University,","Mary Evelynn Sorrell, Assistant Director for Winedale",phone: 979-278-3530,e-mail: mesorrell@austin.utexas.edu,"Lynn J. Bell, Exhibits Curator",e-mail: l.bell@mail.utexas.edu,"Dr. Don Carleton, Executive Director",e-mail: d.carleton@austin.utexas.edu,,
Central Texas Area Museum,"Interstate 35
Salado, TX 76571
", 254-947-5232,, office@ctam-salado.org, www.ctam-salado.org,"History,",,
Central Texas Cultural Activities Center,"3011 North Third Street
Temple, TX 76501
", 254-773-9926, 254-773-9929, director@cacarts.org, www.cacARTS.org,"Art,Culture,,Services,Gift Shop,","Terri Matthew, Executive Director",phone: 254-773-9926,e-mail: director@cacarts.org,"Frana Farrell, Business Office Manager",phone: 254-773-9926,e-mail: business@cacarts.org,"Kristen Graham, Education Coordinator & Administrative Assistant",phone: 254-773-9926,e-mail: education@cacarts.org,"Byron Lovelace, Technical Director",phone: 254-773-9926,e-mail: technical@cacarts.org,"Marilyn Ritchie, Visual Arts Director, Curator",phone: 254-773-9926,e-mail: visualarts@cacARTS.org,,
"Central Texas Museum of Automotive History, Bastrop","2502 Hwy 304
Smithville, TX 78957
", 512-237-2635,,, ctmah.org/,"Specialized,",,
"Central Texas Museum of Automotive History, Rosanky","Hwy 304
Rosanky, TX 78953
", 512-237-2635, 512-754-2424,, www.ctmah.org/,"Specialized,",Richard L. Burdick,,,
Central Texas Oil Patch Museum,"421 East Davis
Luling, TX 78648
", 830-875-1922,, ledc@austin.rr.com, www.oilmuseum.org,"History,",,
Chamizal National Memorial,"800 S. San Marcial
El Paso, TX 79905
", 915-532-7273, 915-532-7240,, www.nps.gov/cham,"History,","Catherine Light, Superintendent",,,
Chappell Hill Museum,"9220 Poplar St.
Chappell Hill, TX 77426
", 409-836-6033, 409-836-6033, ebentley@alpha1.net, www.chappellhillmuseum.org/,"History,",Vivian Meleski,,,
Chestnut  Square - Heritage Guild of Collin County,"315 S Chestnut Street
McKinney, TX 75070
", 972-562-8790, 972-562-8790, info@chestnutsquare.org, www.chestnutsquare.org,"History,Historic House,",,
Chestnut Square Historic Site,"315 S. Chestnut
McKinney, TX 75069
", 972-562-8790, 972-562-8790, info@chestnutsquare.org, www.chestnutsquare.org,"Historic House,","Cindy Johnson, Executive Director",e-mail: cindyjohnson@chestnutsquare.org,,
Chihuahuan Desert Research Institute,"Chihuahuan Desert Research Institute 43869 SH 118
Fort Davis, TX 79734
", 432-364-2499, 432-837-8192,, www.cdri.org,"Arboretum,Nature Centers,","Dr. Cathryn A. Hoyt, Executive Director",e-mail: choyt@cdri.org,,
Children's Art Museum,"36 E. Twohig
San Angelo, TX 76903
", 325-659-4391, 915-659-2407, museum@samfa.org,,"Children's,",Kimberly Herbert,,,
The Children's Museum of Houston,"1500 Binz
Houston, TX 77004
", 713-522-1138, 713-522-5747, mail@cmhouston.org, www.cmhouston.org,"Children's,,Services,Gift ShopOnline Gift Shop,Special Event RentalCafe/Restaurant,Group Tours,","Tammie Kahn, Executive Director",phone: 713-522-1138 x211,"Rita Villanueva, Director of Human Resources ",phone: 713-522-1138 x203,"Cheryl McCallum, Director of Education",phone: 713-522-1138 x220,"Henry  Yau, Public Relations Director",e-mail: hyau@cmhouston.org,"Melissa Garlington, Director of Development ",phone: 713-522-1138 x218,"Mallory Rissmiller, Controller",,"Alexandra Vasquez, Director of Business Development",phone: 713-522-1138 x204,"Connie Schnupp, Director of Retail Operations ",phone: 713-522-1158 x271,"Melissa Denman,  PR Associate",e-mail: mdenman@cmhouston.org,"Wendy Coats, Associate Director of Development",phone: 713-522-1138 x216,,
Childress County Heritage Museum,"210 3rd Street, N.W.
Childress, TX 79201
", 940-937-2261,, childressmuseum@sbcglobal.net, biz.childresstexas.net/childressmuseum/,"History,","Steve Craig, Executive Director",,,
Chinati Foundation,"One Cavalry Row
Marfa, TX 79843
", 915-729-4362, 915-729-4597, information@chinati.org, www.chinati.org/,"Art,","Thomas Kellein, Director",e-mail: tkellein@chinati.org,"Sandra Hinojos, Office Manager",e-mail: shinojos@chinati.org,,
Chisholm Trail Heritage Museum,"302 N Esplanade St
Cuero, TX 77954
", 830-236-5533, 830-236-5726, buckaroo@gvtc.com,,"History,","Robert L. Oliver, Director, Board of Trustees",,,
City County Pioneer Museum,"610 E. Third
Sweetwater, TX 79556
", 915-235-8547,,, www.rootsweb.ancestry.com/~txnolan/pioneer_museum.html,"History,",,
City of Freeport Historical Museum,"311 E Park Street
Freeport, TX 77541
", 979-233-0066,,, www.freeportmuseum.com,"Children's,Culture,History,Planetarium,,Services,Special Event Rental,","Monica Wright, Curator",phone: 979-233-0066 ,e-mail: mwright@freeport.tx.us ,,
City-County Heritage Museum,"Street: North Highway 83
Paducah, TX 79248
", 806-492-2143,, rick@forttours.com,,"History,",,
"Civic Development, Inc.","Weatherford, TX 76086
",,,,,,,
Civil War Museum-Outpost 11,"200-6 Noble
Spring, TX 77373
", 281-528-9911,, robynsnestantiques@yahoo.com,,"History,Library,Military,","Kraig D. White, President",phone: 281-528-9911,e-mail: kraigw1@yahoo.com,"Wil Gibson, Vice President",,"Nicole Armstrong, Secretary",,"Rita Hurst, Treasurer",phone: 281-732-5041,e-mail: robynsnestantiques@yahoo.com,,
Clara Foster Slough Museum of Enloe,"218 Lexie Street
Enloe, TX 75441
", 903-784-8114,, enloemuseum@gmail.com, enloemuseum.blogspot.com/,"Archaeology,Culture,General,History,Library,Military,Natural History,,Services,Special Event RentalGroup Tours,","Richard Duncan, Curator",phone: 903-784-8114,e-mail: enloemuseum@gmail.com,"Jeff Duncan, Research Assistant",e-mail: enloemuseum@gmail.com,,
Cold War Air Museum,"860 Ferris Road
Lancaster, TX 75146
", 972-869-2471 x100, 240-376-1111, bruce@cwam.org, www.ColdWarAirMuseum.org,"History,Military,Science,Specialized,","Bruce Stringfellow, President",phone: 972-869-2471 x100,e-mail: bruce@cwam.org,"Jon Boede, Director",phone: 512-789-3201,e-mail: jon@cwam.org,,
Collingsworth County Museum,"824 East Avenue
Wellington, TX 79095
", 806-447-5327,, collingsworthmuseum@windstream.net, www.collingsworthcountymuseum.org/,"Archaeology,Art,Culture,History,Library,","W. Doris Stallings, Director",phone: 806-447-5327,e-mail: collingsworthmuseum@windstream.net,"Rudolph Tate, President",,,
Collinsworth County Historical Museum,"824 East Avenue
Wellington, TX 79095
", 806-447-5427, 806-447-5418, hstallings@adobewallsinternet.com, www.collingsworthcountymuseum.org,"Art,Children's,History,","Doris Stallings, Vice President/Director",phone: 806-447-5462,"Willie Faye Patrick, President",phone: 806-447-2297,"Harold Caldwell, Tours",phone: 806-447-5407,"Fred Squyres, Early History, exploratory trails of the Panhandle",phone: 806-447-5561,,
Columbia Historical Museum Association,"247 E Brazos Ave
West Columbia, TX 77486
", 979-345-6125,, bblackmon34@embarqmail.com, www.westcolumbiatx.org/index.aspx?NID=874,"History,","Betty Blackmon, President",e-mail: bblackmon34@embarqmail.com,,
The Community Science Center,"300 West Ruby Road
Harker Heights, TX 76548
", 254-680-3784, 254-680-3784,,,"Science,",Micah J. Kimbrough,,,
Contemporary Arts Museum,"5216 Montrose Blvd.
Houston, TX 77006
", 713-284-8250, 713-284-8275, info@camh.org, www.camh.org/,"Art,","Connie Mcallister, Communications and Marketing Manager",phone: 713-284-8255,e-mail: cmcallister@camh.org,,
"Cooke County Heritage Society, Inc.","210 S. Dixon Street
Gainesville, TX 76240
", 940-668-8900,, mortonmuseum@att.net, www.MortonMuseum.org,"General,History,Historic House,Historical Society,","Christy Fenley, Museum Business Coordinator",phone: 940-668-8900,"Harriett Dickson, CCHS President",,"Cathy Farquar, Museum Coordinator",,"Ms. Lillian Gunter, Someone from the Past",e-mail: mortonmuseum@att.net,,
Corpus Christi Museum of Science and History,"1900 N Chaparral
Corpus Christi, TX 78401
", 512-883-2862, 512-884-7392,, www.ccmuseum.com,"General,","Richard R. Stryker, Director",,,
Coryell Museum and Historical Center,"718 E Main St
Gatesville, TX 76528
", 817-865-5007,, coryellmuseum@htcomp.net, www.coryellmuseum.org/,,Helen Swift,,,
Cotton Belt Rail Historical Society,"Whitehouse, TX 75791
", 903-839-2501,,,,"Historical Society,",,
Cowboy Ranch Restaurant & Museum,"6915 Spencer  Highway
Pasadena, TX 77505
",,,, www.texaslandandcattle.com/files/locations.aspx,,Jim Adkins,,,
Creation Evidences Museum,"FM 205 Approximately four miles west via US 67
Glen Rose, TX 76043-0309
", 817-897-3200,,, www.creationevidence.org/,"History,Science,Specialized,",,
Crockett County Museum,"408 11th Street
Ozona, TX 76943
", 915-392-2837, 915-392-5654,, crockettcountymuseum.com,"Archaeology,History,","Camille Allen, Director/Coordinator",phone: 325-392-2837,e-mail: ccmuseum@wcc.net,,
Crosby County Pioneer Memorial Museum,"101 W. Main Street
Crosbyton, TX 79322
", 806-675-2331, 806-675-7012, ccpmm@door.net, www.crosbycountymuseum.com/,"General,History,Natural History,","Bill Odom, General Manager",phone: 806-675-2331,"William R. Bennett, Education Director",phone: 806-675-2331,"Bettye Odom, Office Manager",phone: 806-675-2331,,
The Crow Collection of Asian Art,"2010 Flora Street
Dallas, TX 75201
",,,, www.crowcollection.org,"Art,","Amy Lewis Hofland, Director",phone: 214-979-6431,e-mail: ahofland@crowcollection.org,"Carrie Ford, Director of Marketing & Membership",phone: 214-271-4485,e-mail: cford@crowcollection.org,,
Culberson County Historical Museum,"212 w. Broadway
Van Horn, TX 79855
", 915-283-8028,,,,"General,",Robert Stuckey,,,
CY Twombly Gallery,"501 Branard St.
Houston, TX 77006
", 713-525-9400, 713-525-9444, info@menil.org, www.menil.org,"Art,",Paul Winkler,,,
Czech Center Museum Houston,"4920 San Jacinto
Houston, TX 77004
", 713-528-2060, 713-528-2017, events@czechcenter.org, www.czechcenter.org,"Art,Culture,History,Historical Society,Library,Specialized,,Services,Gift ShopSpecial Event Rental,","Bill Rosene, Vice President",e-mail: czech@czechcenter.org,"Effie M.  Rosene, Chairman/CEO",e-mail: effie@czechcenter.org,"Valerie Kerschen, Administration",e-mail: valerie@czechcenter.org,,
Dal-Paso Museum,"310 S. First St.
Lamesa, TX 79331
", 806-872-5007, 806-872-2181,,,"General,",Wayne C. Smith,,,
The Dallas Aquarium at Fair Park,"1462 First Avenue & Martin Luther King Blvd.
Dallas, TX 75226
", 214-670-8453, 214-670-8452, dallasaq@airmail.net, www.dallas-zoo.org,"Aquarium,",Robert Lee Kellar,,,
Dallas Arboretum & Botanical Garden,"8617 Garland Road
Dallas, TX 75218
", 214-327-8263, 214-324-9801,, www.dallasarboretum.org/,"Children's,Historic House,","Jane Offenbach, Director of Marketing",,"Mary Brinegar, President",,"Dave Forehand, Director of the Gardens",,"Maria Conroy, Director of Education",,"Brenda Ross, Director of Development",,,
Dallas Contemporary,"161 Glass Street
Dallas, TX 75207
", 214-821-2522, 214-821-2522, info@dallascontemporary.org, www.dallascontemporary.org,"Art,","Katherine Wagner, Executive Director",phone: 214-821-2522,"Sherry Mick, Assistant Director",phone: 214-821-2522,"Kelly Petros, Community Relations Coordinator",phone: 214-821-2522,"Barbara West, Membership",phone: 214-821-2522,"Cassandra Porter, staff",e-mail: cassandra.porter@dallascontemporary.org,,
Dallas County Heritage Society,"1717 Gano Street
Dallas, TX 75215
", 214-421-5141, 214-428-6351,,,,Gary Smith,,,
Dallas Heritage Village,"1515 S. Harwood
Dallas, TX 75125
", 214-421-5141, 214-428-6351, gnsmith@dallasheritagevillage.org, www.oldcitypark.org,"Historic House,","Gary Smith, Executive Director",phone: 214-421-5141 x103,e-mail: gnsmith@dallasheritagevillage.org,"Mary Keil, Director of Administration",phone: 214-421-5141 x107,"Wilbert O'Hara, Director of Rental Operations",phone: 214-421-5141 x100,"Nancy Farina, Director of Development",phone: 214-421-5141 x108,"Hal Simon, Curator of Collections & Interpretation",phone: 214-421-5141 x114,"Michael Cook, Education Coordinator",phone: 214-421-5141 x115,"Kate Fagelman, Membership Coordinator",phone: 214-421-5141 x111,"Becky Schrader, Store Manager",phone: 214-421-5141 x220,"Shantrell Ross, Receptionist",phone: 214-421-5141 x101,"Pamela Conine, Director of Marketing and Public Relations",e-mail: pconine@dallasheritagevillage.org,,
Dallas Historical Society,"3939 Grand Av.
Dallas, TX 75210
", 214-421-4500, 214-421-7500,, www.dallashistory.org,"History,Historical Society,,Services,Gift ShopSpecial Event Rental,Group Tours,","Jack Bunning, Executive Director",phone: 214-421-4500,e-mail: jack@dallashistory.org,"Diane Dynis, Executive Assistant",,"Jamie Marshall, Marketing/Special Events/Rentals",,"Alan Olson, Collections and Exhibits Director",,"Susan Richards, Research Librarian",,"Dealey Campbell, Education and Program Director",,"Samantha Dodd, Certified Archivist/Reseacher",phone: 214-421-4500,e-mail: samanhad@dallashistory.org,,
"Dallas Holocaust Museum, Center for Education and Tolerance","Dallas Holocaust Museum
211 N. Record St.
Dallas, TX 75202
", 214-741-7500, 214-747-2270, info@dallasholocaustmuseum.org, www.dallasholocaustmuseum.org,"Culture,History,Specialized,","Carol Barber, Director of Development",phone: 214-741-7500 x103,"Cathey Treider, Director of Operations",phone: 214-741-7500 x108,"Kathy Chapman, Director of Education and Programming",phone: 214-741-7500 x104,e-mail: kchapman@dallasholocaustmuseum.org,"Marsha Friedman, Operations Admin. Assist.",phone: 214-741-7500 x105,e-mail: mfriedman@dallasholocaustmuseum.org,"Stan Friedman, Administrative Assistant",phone: 214-741-7500 x100,"Hope Levine, Visitor & Volunteer Coordinator",phone: 214-741-7500 x106,e-mail: hlevine@dallasholocaustmuseum.org,"Leslie Wagner, Archivist",phone: 214-741-7500 x107,"Chris Kelley, Pubilc Relations",e-mail: chris.kelley@landh.com,,
Dallas Museum of Art,"1717 North Harwood
Dallas, TX 75201
", 214-922-1200, 214-954-0174,, www.dm-art.org/,"Art,Library,",Jay Gates,,,
Dallas Public Schools Environmental Education Center,"1600 Bowers Road
Seagoville, TX 75159
", 972-749-6900,, bgorman@dallasisd.org,,"Children's,General,History,Natural History,Nature Centers,Science,","Bob Gorman, Supervisor",phone: 972-749-6900,e-mail: bgorman@dallasisd.org,"Carol Nash, Teacher Naturalist",,"Harry Monroe, Teacher Naturalist",,"Nona Batiste, Teacher Naturalist",,"Janet Fuller, Teacher Naturalist",,,
Dallas Zoo,"650 S. R.L. Thronton Frwy.
Dallas, TX 75203
", 214-670-6826, 214-670-7450, dallaszoo@airmail.net, www.dallas-zoo.org/,"Zoo,",Richard W. Buickerood,,,
Daughters of the Republic of Texas Library,"300 Alamo Plaza
San Antonio, TX 78205
", 210-225-1071, 210-212-8514, drtl@drtl.org, www.drtl.org,"Library,","Leslie Stapleton, Library Director",e-mail: lstapleton@drtl.org,,
Deaf Smith County Museum,"400 Sampson Street
Hereford, TX 79045
", 806-363-7070,, deafsmithmuseum@wtrt.net,,"Culture,General,History,Historic House,Library,","Paula Edwards, Executive Director",phone: 806-363-7070,e-mail: deafsmithmuseum@wtrt.net,"Pearl Salinas, Staff Assistant",phone: 806-363-7070,e-mail: deafsmithmuseum@wtrt.net,,
Denton County Courthouse-on-the-Square Museum,"110 West Hickory
Denton, TX 76201
", 940-349-2850,, officeofhistoryandculture@dentoncounty.com, www.dentoncounty.com/chos,"Culture,General,History,Historic House,Park,,Services,Gift ShopOnline Gift Shop,Special Event RentalGroup Tours,","Peggy Riddle, Museum Director",,"Kim Cupit, Curator of Collections",phone: 940-349-2853,"Gretel L'Heureux, Education & Tourism Director",phone: 940-349-2850,,
